condition,label,density,strategy,n_seeds,seeds,word_top1_mean,word_top1_sd,word_top5_mean,word_top5_sd,sent_top1_mean,sent_top1_sd,sent_top5_mean,sent_top5_sd
low_40,Low 40,40,coverage-first,3,"42,43,44",0.14766666666666667,0.02404336360273524,0.28099999999999997,0.0342527371169079,0.15466666666666667,0.03523256069793017,0.34933333333333333,0.05460158727851538
medium_60_full,Medium 60 full,60,coverage-first,3,"42,43,44",0.163,0.06342909427068938,0.3118333333333333,0.10225010187443988,0.212,0.06471475874945373,0.44399999999999995,0.1120535586226515
high_80_full,High 80 full,80,coverage-first,3,"42,43,44",0.2635,0.006763874629234347,0.47733333333333333,0.020647840887931423,0.348,0.0990151503558925,0.644,0.11194641575325222
low_40_relation,Low 40 relation,40,relation-first,3,"42,43,44",0.283,0.09175102179267541,0.47716666666666663,0.11218548628647705,0.312,0.1368356678647786,0.5893333333333334,0.16150954564152958
medium_60_relation,Medium 60 relation,60,relation-first,3,"42,43,44",0.4096666666666667,0.05393591876786132,0.622,0.05595310536511805,0.43133333333333335,0.09658847412260604,0.7133333333333334,0.05463820397243428
high_80_relation,High 80 relation,80,relation-first,3,"42,43,44",0.5579999999999999,0.04122802444939609,0.7605,0.05812916651733447,0.6126666666666667,0.026857649437978273,0.8506666666666667,0.019218047073866117
full_graph,Full graph,100,full_graph_single_seed,1,42,0.597,0.0,0.809,0.0,0.668,0.0,0.908,0.0
