pair_id,group,selection_rank,condition,overlap_percent,synset,lemma,cjk_token,hiragana_token,cosine_distance
12,close_at_100,12,overlap_025,25,ram.n.05,ram,嚴癳瘞鄜,だり,0.845344066619873
12,close_at_100,12,overlap_050,50,ram.n.05,ram,嚴癳瘞鄜,だり,0.7103415131568909
12,close_at_100,12,overlap_075,75,ram.n.05,ram,嚴癳瘞鄜,だり,0.7933552414178848
12,close_at_100,12,overlap_100,100,ram.n.05,ram,嚴癳瘞鄜,だり,0.3183128833770752
13,close_at_100,13,overlap_000,0,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,0.8060726821422577
13,close_at_100,13,overlap_025,25,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,0.6976736485958099
13,close_at_100,13,overlap_050,50,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,0.7450746893882751
13,close_at_100,13,overlap_075,75,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,1.086279772222042
13,close_at_100,13,overlap_100,100,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,0.31894004344940186
14,close_at_100,14,overlap_000,0,salesperson.n.01,salesperson,跦敖,ぁがぺわの,0.7679469585418701
14,close_at_100,14,overlap_025,25,salesperson.n.01,salesperson,跦敖,ぁがぺわの,0.9409509599208832
14,close_at_100,14,overlap_050,50,salesperson.n.01,salesperson,跦敖,ぁがぺわの,0.6321523487567902
14,close_at_100,14,overlap_075,75,salesperson.n.01,salesperson,跦敖,ぁがぺわの,0.7382179200649261
14,close_at_100,14,overlap_100,100,salesperson.n.01,salesperson,跦敖,ぁがぺわの,0.3194674253463745
15,close_at_100,15,overlap_000,0,double_knit.n.01,double knit,釃苐,とおいそ,0.8395793586969376
15,close_at_100,15,overlap_025,25,double_knit.n.01,double knit,釃苐,とおいそ,0.5547819137573242
15,close_at_100,15,overlap_050,50,double_knit.n.01,double knit,釃苐,とおいそ,0.6856304705142975
15,close_at_100,15,overlap_075,75,double_knit.n.01,double knit,釃苐,とおいそ,0.6785358190536499
15,close_at_100,15,overlap_100,100,double_knit.n.01,double knit,釃苐,とおいそ,0.3204694390296936
16,close_at_100,16,overlap_000,0,conceptnet:hammer:1463,hammer,蕢喩阐鶮,えら,0.8253628015518188
16,close_at_100,16,overlap_025,25,conceptnet:hammer:1463,hammer,蕢喩阐鶮,えら,0.5636793971061707
16,close_at_100,16,overlap_050,50,conceptnet:hammer:1463,hammer,蕢喩阐鶮,えら,0.5647063851356506
16,close_at_100,16,overlap_075,75,conceptnet:hammer:1463,hammer,蕢喩阐鶮,えら,0.7405427098274231
16,close_at_100,16,overlap_100,100,conceptnet:hammer:1463,hammer,蕢喩阐鶮,えら,0.3211803436279297
17,close_at_100,17,overlap_000,0,celestial_point.n.01,celestial point,鄐辝亼,たべ,0.5243405997753143
17,close_at_100,17,overlap_025,25,celestial_point.n.01,celestial point,鄐辝亼,たべ,0.6017733514308929
17,close_at_100,17,overlap_050,50,celestial_point.n.01,celestial point,鄐辝亼,たべ,0.38166964054107666
17,close_at_100,17,overlap_075,75,celestial_point.n.01,celestial point,鄐辝亼,たべ,0.8505403846502304
17,close_at_100,17,overlap_100,100,celestial_point.n.01,celestial point,鄐辝亼,たべ,0.3214554190635681
18,close_at_100,18,overlap_000,0,specialist.n.01,specialist,橇齦窌,すぃそ,0.7966424822807312
18,close_at_100,18,overlap_025,25,specialist.n.01,specialist,橇齦窌,すぃそ,0.6356838345527649
18,close_at_100,18,overlap_050,50,specialist.n.01,specialist,橇齦窌,すぃそ,0.5888904333114624
18,close_at_100,18,overlap_075,75,specialist.n.01,specialist,橇齦窌,すぃそ,0.7039634585380554
18,close_at_100,18,overlap_100,100,specialist.n.01,specialist,橇齦窌,すぃそ,0.3217233419418335
19,close_at_100,19,overlap_000,0,igbo.n.01,igbo,雁摯鳊忴,れほが,0.7316146194934845
19,close_at_100,19,overlap_025,25,igbo.n.01,igbo,雁摯鳊忴,れほが,0.633795440196991
19,close_at_100,19,overlap_050,50,igbo.n.01,igbo,雁摯鳊忴,れほが,0.6689355373382568
19,close_at_100,19,overlap_075,75,igbo.n.01,igbo,雁摯鳊忴,れほが,0.4549945592880249
19,close_at_100,19,overlap_100,100,igbo.n.01,igbo,雁摯鳊忴,れほが,0.3245682120323181
