condition,label,density,strategy,n_seeds,seeds,top1_mean,top1_sd,top5_mean,top5_sd,mrr_mean,mrr_sd,masked_tokens_mean,masked_tokens_sd
low_40,Low 40,40,coverage-first,3,"42,43,44",0.5159333333333334,0.020312639743109033,0.9186666666666666,0.005501211987674478,0.6844,0.017053738593047613,1376.0,26.888659319497503
medium_60_full,Medium 60 full,60,coverage-first,3,"42,43,44",0.46776666666666666,0.011217991501749932,0.9059,0.0053329166503893344,0.6498333333333334,0.0051626866390798035,2218.3333333333335,60.500688701314246
high_80_full,High 80 full,80,coverage-first,3,"42,43,44",0.4572,0.022148814866714658,0.8877666666666667,0.005118919156749135,0.6342333333333333,0.01583708727428544,3026.3333333333335,74.44684904905871
low_40_relation,Low 40 relation,40,relation-first,3,"42,43,44",0.5394333333333333,0.0034645827069551952,0.9255,0.010612728207204781,0.7048333333333333,0.002916047553338855,1272.3333333333333,37.072002014098636
medium_60_relation,Medium 60 relation,60,relation-first,3,"42,43,44",0.49343333333333333,0.01536435268188458,0.9065666666666666,0.0037112441759245135,0.6676,0.009539392014169465,2073.6666666666665,9.451631252505218
high_80_relation,High 80 relation,80,relation-first,3,"42,43,44",0.4757,0.018020821290940087,0.8840666666666667,0.0046918368826434345,0.6469333333333334,0.010597326706926305,2872.3333333333335,31.342197327777345
full_graph,Full graph,100,full_graph_single_seed,1,42,0.4387,0.0,0.8548,0.0,0.6153,0.0,3766.0,0.0
