condition,overlap_percent,n_seeds,mean_n_usable_probe_triples,mean_best_layer,mean_best_layer_accuracy,sd_best_layer_accuracy,mean_final_layer_accuracy,sd_final_layer_accuracy,mean_embedding_layer_accuracy,sd_embedding_layer_accuracy
overlap_000,0,3,2753.0,2.6666666666666665,0.056566666666666675,0.004336281048702141,0.045500000000000006,0.002944486372867092,0.0143,0.0018083141320025128
overlap_025,25,3,2064.0,1.6666666666666667,0.07429999999999999,0.009250405396521819,0.05943333333333334,0.012302980668656411,0.015533333333333335,0.0014502873278538068
overlap_050,50,3,1377.0,1.6666666666666667,0.11499999999999999,0.01965426162439078,0.10166666666666667,0.021532378719810168,0.01983333333333333,0.0008082903768654752
overlap_075,75,3,689.0,2.3333333333333335,0.22786666666666666,0.008046324212541606,0.19593333333333332,0.023332452364321528,0.02273333333333333,0.003010537050649492
