layer,relation,accuracy,n
0,CapableOf,0.0000,46
0,AtLocation,0.0000,46
0,UsedFor,0.0000,47
0,HasProperty,0.1042,48
1,CapableOf,0.1087,46
1,AtLocation,0.1304,46
1,UsedFor,0.1064,47
1,HasProperty,0.1875,48
2,CapableOf,0.1522,46
2,AtLocation,0.2609,46
2,UsedFor,0.1277,47
2,HasProperty,0.3125,48
3,CapableOf,0.1739,46
3,AtLocation,0.2174,46
3,UsedFor,0.1915,47
3,HasProperty,0.3333,48
4,CapableOf,0.1304,46
4,AtLocation,0.1522,46
4,UsedFor,0.1489,47
4,HasProperty,0.2292,48
