condition,density_percent,sampling_strategy,n_seeds,mean_n_usable_probe_triples,mean_best_layer,mean_best_layer_accuracy,sd_best_layer_accuracy,mean_final_layer_accuracy,sd_final_layer_accuracy,mean_embedding_layer_accuracy,sd_embedding_layer_accuracy
low_40,40,coverage,3,88.66666666666667,2.3333333333333335,0.29729999999999995,0.03232970770050357,0.27276666666666666,0.016721642662529713,0.042333333333333334,0.010914363624753086
low_40_relation,40,relation,3,168.66666666666666,2.6666666666666665,0.28043333333333337,0.17735293438038555,0.2429,0.14835157565728785,0.023733333333333332,0.006058327602014712
medium_60_full,60,coverage,3,76.0,2.3333333333333335,0.34443333333333337,0.13677069617916454,0.3191333333333333,0.14567887057955017,0.04626666666666667,0.02126131071531888
medium_60_relation,60,relation,3,244.0,3.0,0.5095333333333333,0.0689305689323201,0.46469999999999995,0.012211879462228573,0.027266666666666665,0.004221768981521054
high_80_full,80,coverage,3,63.0,2.3333333333333335,0.6606,0.13589337732207551,0.6227666666666667,0.12476863922209509,0.0704,0.02422643184622944
high_80_relation,80,relation,3,210.0,2.3333333333333335,0.6958000000000001,0.06592776349915108,0.6592,0.059294097514002164,0.019066666666666666,0.008344059763288692
full_graph,100,coverage,3,169.66666666666666,3.0,0.8091333333333334,0.04874600838359317,0.7919666666666667,0.02861753541682678,0.03366666666666667,0.005071817557181384
