id,concept,hit
0,conceptnet:capitalized:1837,0
1,conceptnet:botany:1212,0
2,conceptnet:draw_attention:1896,0
3,conceptnet:biology:1234,0
4,conceptnet:bar:1219,0
5,conceptnet:garage:1419,0
6,dinner.n.01,0
7,conceptnet:support:1271,0
8,plaything.n.01,0
9,conceptnet:church:1303,1
10,conceptnet:pray:1677,1
11,conceptnet:geography:1277,0
12,conceptnet:charge:1345,0
13,conceptnet:anatomy:1205,0
14,conceptnet:container:1283,0
15,conceptnet:fill:1348,0
16,conceptnet:geology:1296,0
17,conceptnet:fridge:1399,0
18,conceptnet:resturant:1505,0
19,conceptnet:container:1283,0
20,conceptnet:suitcase:1538,0
21,conceptnet:grow:1456,0
22,conceptnet:complex:1469,0
23,conceptnet:astrology:1434,0
24,assembly.n.05,0
25,conceptnet:tennis:1459,0
26,conceptnet:dessert:1363,0
27,namibia.n.01,0
28,conceptnet:aviation:1330,0
29,paring.n.01,0
30,conceptnet:country:1215,0
31,conceptnet:fly:1244,0
32,suspension_bridge.n.01,0
33,conceptnet:safety:1789,0
34,conceptnet:rail_transport:1557,0
35,conceptnet:cabinet:1452,0
36,conceptnet:country:1215,0
37,conceptnet:internet:1288,0
38,conceptnet:textiles:1663,0
39,conceptnet:heraldry:1664,0
40,fiber.n.03,0
41,conceptnet:dentist:1541,0
42,conceptnet:glass:1285,0
43,adornment.n.01,0
44,nutriment.n.01,0
45,fiber.n.03,0
46,conceptnet:video_games:1435,1
47,conceptnet:walk:1310,0
48,california.n.01,0
49,conceptnet:eat_vegetables:1785,0
50,swing.n.02,0
51,lady.n.03,0
52,conceptnet:surface_of_earth:1455,0
53,conceptnet:programming:1495,0
54,conceptnet:country:1215,0
55,conceptnet:garage:1419,0
56,conceptnet:good:1470,0
57,conceptnet:horse_racing:1846,0
58,conceptnet:iron_clothes:1883,0
59,conceptnet:market:1377,0
60,rust.n.04,0
61,conceptnet:closet:1314,0
62,breakfast.n.01,0
63,conceptnet:fishing:1460,1
64,conceptnet:nonstandard:1406,0
65,conceptnet:reception_area:1780,0
66,conceptnet:apartment:1412,0
67,conceptnet:shop:1327,0
68,conceptnet:kiss:1754,0
69,conceptnet:car:1371,1
70,conceptnet:living:1260,0
71,conceptnet:film:1461,0
72,victoria.n.03,0
73,elected_official.n.01,0
74,conceptnet:television:1523,0
75,conceptnet:subway:1925,0
76,paring.n.01,0
77,adornment.n.01,0
78,conceptnet:office:1227,0
79,conceptnet:tennis:1459,0
80,location.n.01,0
81,conceptnet:geology:1296,0
82,conceptnet:market:1377,0
83,conceptnet:horse_racing:1846,0
84,conceptnet:fly:1244,0
85,rust.n.04,0
86,rust.n.04,0
87,conceptnet:bookstore:1776,0
88,conceptnet:floor:1306,0
89,italy.n.01,0
90,conceptnet:sewing:1632,0
91,conceptnet:eat:1216,0
92,protective_covering.n.01,0
93,conceptnet:purse:1584,0
94,conceptnet:scotland:1289,0
95,conceptnet:chair_committee:1758,0
96,conceptnet:microbiology:1405,1
97,medicine.n.02,0
98,conceptnet:bottle:1353,0
99,conceptnet:dialect:1331,0
100,conceptnet:chair_meeting:1683,0
101,conceptnet:can:1290,0
102,conceptnet:chess:1270,0
103,conceptnet:suitcase:1538,0
104,conceptnet:chemistry:1254,0
105,conceptnet:nautical:1204,0
106,dinner.n.01,0
107,conceptnet:top_of_mountain:1702,0
108,conceptnet:horses:1768,0
109,conceptnet:family:1246,0
110,conceptnet:music:1209,0
111,conceptnet:iron_clothes:1883,0
112,conceptnet:forest:1326,0
113,conceptnet:slang:1201,0
114,beverage.n.01,1
115,conceptnet:starting_fire:1752,0
116,conceptnet:colour:1346,0
117,conceptnet:chemistry:1254,0
118,conceptnet:fork_in_road:1781,0
119,conceptnet:fly:1244,0
120,conceptnet:chess:1270,0
121,torso.n.01,1
122,conceptnet:experience_pain:1894,0
123,conceptnet:clean_house:1756,0
124,universe.n.01,0
125,conceptnet:customer:1769,0
126,conceptnet:disneyland:1695,0
127,conceptnet:historical:1207,0
128,conceptnet:cytology:1318,0
129,conceptnet:captain_ship:1680,0
130,conceptnet:military:1210,0
131,conceptnet:talk_on_phone:1897,0
132,conceptnet:zoology:1221,1
133,conceptnet:fly:1244,1
134,conceptnet:india:1487,0
135,conceptnet:engineering:1278,0
136,decoration.n.01,0
137,conceptnet:answer_telephone:1761,0
138,conceptnet:offer_solace:1901,0
139,conceptnet:drive_train:1891,0
140,conceptnet:draw_attention:1896,0
141,conceptnet:bridge_river:1757,0
142,conceptnet:effect:1429,0
143,conceptnet:coat_walls:1889,0
144,conceptnet:footwear:1861,0
145,conceptnet:cloud_judgement:1893,0
146,conceptnet:chair_committee:1758,0
147,decoration.n.01,0
148,conceptnet:politics:1333,0
149,conceptnet:cloud_judgement:1893,0
150,conceptnet:bottom_of_sea:1537,0
151,conceptnet:community:1566,0
152,conceptnet:conference:1588,0
153,organ.n.01,0
154,conceptnet:offer_solace:1901,0
155,conceptnet:fall_down:1621,0
156,conceptnet:historical:1207,0
157,conceptnet:heraldiccharge:1599,0
158,conceptnet:play:1236,0
159,conceptnet:mouth:1230,0
160,conceptnet:eating:1257,0
161,conceptnet:coat_walls:1889,0
162,conceptnet:rail:1554,0
163,conceptnet:reproduce:1565,0
164,beverage.n.01,1
165,beverage.n.01,1
166,conceptnet:go_home:1684,0
167,conceptnet:complete_job:1902,0
168,conceptnet:north_america:1558,0
