condition,label,training_mode,word_top1_mean,word_top1_sd,word_top5_mean,word_top5_sd,sent_top1_mean,sent_top1_sd,sent_top5_mean,sent_top5_sd,mlm_top1_mean,mlm_top1_sd,mlm_top5_mean,mlm_top5_sd,mrr_mean,mrr_sd
low_40,Low 40,downsample,0.1255,0.03538007914066898,0.246,0.06928383649885449,0.15066666666666667,0.045003703551300456,0.35133333333333333,0.08329065573840401,0.5003666666666666,0.01699921566818111,0.9206,0.0007211102550928262,0.6752,0.008292767933567171
medium_60_full,Medium 60 full,downsample,0.17016666666666666,0.019857828011475308,0.3418333333333333,0.020275190093642353,0.16933333333333334,0.03360555509634281,0.41000000000000003,0.04521061822182927,0.4737,0.010129659421717986,0.8881,0.001473091986265631,0.6482,0.00543415126767743
medium_60_full,Medium 60 full,full_corpus,0.17033333333333334,0.057337451402493765,0.33066666666666666,0.07464303941650109,0.19266666666666665,0.07627144507175233,0.428,0.11135528725660045,0.4849,0.0047696960070847325,0.9063666666666667,0.007069181942299497,0.6583666666666667,0.0032624121954978654
high_80_full,High 80 full,downsample,0.1895,0.09559811713626999,0.3586666666666667,0.14138363884599,0.19733333333333333,0.10944100389403112,0.43466666666666665,0.18238786509341384,0.4633,0.010115829180052414,0.8758,0.00929731143933556,0.6354,0.00849234949822482
high_80_full,High 80 full,full_corpus,0.3855,0.04386342439892262,0.5853333333333333,0.047718794340734685,0.36933333333333335,0.051471675058553656,0.664,0.07717512552629896,0.49696666666666667,0.012760224658419334,0.9129666666666667,0.0036909799963333973,0.6663666666666667,0.0068383721259765735
low_40_relation,Low 40 relation,downsample,0.2981666666666667,0.05948599274899372,0.49333333333333335,0.07134131575274831,0.258,0.07302054505411473,0.5453333333333333,0.11391809923507913,0.5501,0.016813387523042466,0.9412666666666667,0.008450641001328411,0.7138333333333333,0.010739801363774521
medium_60_relation,Medium 60 relation,downsample,0.34983333333333333,0.0782325592917254,0.569,0.09277526610039986,0.2906666666666667,0.09654705243213454,0.5793333333333334,0.1298665982203789,0.5048333333333334,0.0007505553499465418,0.9119333333333334,0.015877447317920308,0.6760666666666667,0.0024419937209856106
medium_60_relation,Medium 60 relation,full_corpus,0.5176666666666667,0.09743886972524535,0.7203333333333334,0.08623417729261025,0.51,0.039949968710876395,0.7913333333333333,0.019731531449264945,0.5335,0.005565069631190628,0.9302333333333334,0.009765415164412265,0.6999666666666666,0.0030989245446337217
high_80_relation,High 80 relation,downsample,0.5191666666666667,0.0423359579238894,0.7323333333333334,0.0310818811099543,0.464,0.026229754097208,0.7446666666666667,0.020033305601755643,0.49293333333333333,0.005697660338536627,0.8829,0.0018083141320025342,0.6578333333333334,0.0038083242158898894
high_80_relation,High 80 relation,full_corpus,0.654,0.04164432734478971,0.8298333333333333,0.025121372043209182,0.6473333333333333,0.03139001964531617,0.8866666666666667,0.03557152419187763,0.5213333333333333,0.00213853532431272,0.9200333333333334,0.004785742714912002,0.6878666666666667,0.004554484969053397
full_graph,Full graph,downsample,0.5255,0.06965629906907199,0.7433333333333333,0.05723708005596838,0.456,0.045033320996790825,0.7553333333333333,0.027006172134038817,0.4691,0.006722350779303341,0.8597,0.0030999999999999917,0.6351333333333333,0.005729165151514907
full_graph,Full graph,full_corpus,0.715,0.027712812921102063,0.868,0.011357816691600558,0.7046666666666667,0.0219393102292058,0.9013333333333333,0.016165807537309534,0.5141333333333333,0.005643875736879129,0.9101,0.006843975452907492,0.6793,0.0063663176169587755
