layer,relation,accuracy,n
0,HasContext,0.0000,42
0,CapableOf,0.0889,45
0,AtLocation,0.0000,42
0,UsedFor,0.0750,40
1,HasContext,0.5238,42
1,CapableOf,0.6222,45
1,AtLocation,0.6905,42
1,UsedFor,0.6000,40
2,HasContext,0.6667,42
2,CapableOf,0.6889,45
2,AtLocation,0.7381,42
2,UsedFor,0.6500,40
3,HasContext,0.7381,42
3,CapableOf,0.6889,45
3,AtLocation,0.7381,42
3,UsedFor,0.7250,40
4,HasContext,0.7143,42
4,CapableOf,0.7333,45
4,AtLocation,0.7143,42
4,UsedFor,0.7500,40
