layer,relation,accuracy,n
0,HasContext,0.0222,45
0,CapableOf,0.0000,46
0,Antonym,0.0000,41
0,AtLocation,0.0000,40
0,SimilarTo,0.0227,44
0,UsedFor,0.0476,42
1,HasContext,0.0667,45
1,CapableOf,0.0652,46
1,Antonym,0.0000,41
1,AtLocation,0.0000,40
1,SimilarTo,0.0000,44
1,UsedFor,0.0238,42
2,HasContext,0.1111,45
2,CapableOf,0.0217,46
2,Antonym,0.0244,41
2,AtLocation,0.0500,40
2,SimilarTo,0.0227,44
2,UsedFor,0.1190,42
3,HasContext,0.0000,45
3,CapableOf,0.0870,46
3,Antonym,0.0000,41
3,AtLocation,0.0500,40
3,SimilarTo,0.0455,44
3,UsedFor,0.0476,42
4,HasContext,0.0000,45
4,CapableOf,0.0217,46
4,Antonym,0.0000,41
4,AtLocation,0.0000,40
4,SimilarTo,0.0682,44
4,UsedFor,0.0238,42
